GeneID	GSM3466767	GSM3466768	GSM3466769	GSM3466770	GSM3466771	GSM3466772	GSM3466773	GSM3466774	GSM3466775	GSM3466776	GSM3466777	GSM3466778	GSM3466779	GSM3466780	GSM3466781	GSM3466782	GSM3466783	GSM3466784	GSM3466785	GSM3466786	GSM3466787	GSM3466788	GSM3466789	GSM3466790	GSM3466791	GSM3466792
100287102	40	63	40	37	57	18	75	49	42	8	100	25	132	17	43	17	6	23	28	29	19	51	177	20	28	90
653635	2118	1915	1505	2375	2045	1787	1803	1762	2092	1357	1703	1530	1477	1905	1647	1021	698	903	1337	914	1974	2418	1399	1797	1553	2003
102466751	40	38	41	50	40	25	36	48	47	23	50	42	26	43	25	32	9	12	28	22	39	89	52	55	24	42
107985730	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	1	0	0	2	1	1	2	0	2
100302278	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
645520	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	169	258	234	280	234	352	275	213	130	126	250	183	134	100	198	249	88	126	189	149	190	143	182	224	195	155
729737	1506	3230	3317	4585	3856	4079	5709	2064	1735	3084	3948	3249	1893	1506	2473	3268	786	954	896	1428	1064	1366	1414	2296	4002	2786
102725121	60	62	39	42	54	10	88	45	58	12	206	28	114	15	44	15	4	18	37	26	15	60	271	20	38	136
102723897	2117	1684	1395	2410	1334	1453	2306	2169	2184	1499	2062	1551	1515	1827	1472	1597	681	971	1353	1010	1507	2537	1943	1415	2075	2299
102465909	19	18	21	22	15	10	22	22	21	13	19	15	16	18	14	12	9	9	15	11	23	37	35	33	12	19
107985721	1	1	1	4	1	1	1	5	1	1	3	1	0	1	0	1	0	1	0	2	1	2	1	2	1	1
112268260	74	20	24	26	29	86	32	69	19	26	39	12	67	30	24	34	16	12	54	11	29	28	25	25	23	38
729759	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	869	1614	1714	1747	1449	1806	1807	1254	1086	1047	1589	1569	782	816	1127	1408	335	567	683	802	624	811	730	1108	1338	1257
105378947	4	1	3	3	5	8	1	3	2	2	4	2	36	5	1	5	0	0	3	0	2	2	5	1	0	3
101928626	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
113219467	2239	220	181	256	1252	888	217	187	211	978	167	242	175	1192	446	143	1709	3481	2826	2286	3526	4670	3791	3795	405	331
